OLD_NAME;OLD_ID;NEW_NAME;NEW_XML_ID
Амарант;10963342;Амарант;
Дрозд;10963345;Дрозд;
Зяблик;10963348;Зяблик;
Канарейка;10963351;Канарейка;
Голубь;10963354;Голубь;
Другое;14945093;Другое;
Гуппи;14944797;Гуппи;
Гурами;14944813;Гурами;
Дискус;14944825;Дискус;
Золотая рыбка;14944837;Золотая рыбка;
Карп Кои;14944845;Карп Кои;
Меченосец;14944865;Меченосец;
Моллинезия;14944877;Моллинезия;
Неон;14944881;Неон;
Петушок;14944893;Петушок;
Пецилия;14944897;Пецилия;
Скалярия;14944901;Скалярия;
Сом;14944905;Сом;
Цихлида;14944909;Цихлида;
Рыбка;10963072;Рыбка;10963072
Хорёк;14840441;Хорёк;
Змея;10963372;Змея;
Тритон;10963081;Тритон;
Улитка;10963084;Улитка;
Черепаха водная;10963087;Черепаха водная;
Черепаха сухопутная;10963090;Черепаха сухопутная;
Ящерица;10963093;Ящерица;
Питон;10963054;Питон;
Удав;10963057;Удав;
Уж;10963060;Уж;
Игуана;10963063;Игуана;
Лягушка;10963066;Лягушка;
Паук;10963069;Паук;
Саламандра;10963075;Саламандра;
Таракан;10963078;Таракан;
;;Русская борзая;20000051
;;Афганская борзая;20000006
;;Датчхаунд;20000094
;;Шелти;20000079
;;Бульдог;20000095
;;Японский хин;20000084
;;Ягдтерьер;20000083
;;Цвергшнауцер;20000074
;;Ризеншнауцер;20000048
;;Уиппет;20000069
;;Керри-блю-терьер;20000030
;;Левретка;20000034
;;Мексиканская голая;20000036
;;Американский коккер;20000002
;;Английский коккер;20000004
;;Такса большая;20000062
;;Такса карликовая;20000063
;;Такса кроличья;20000064
;;Такса средняя;20000065
;;Скай-терьер;20000056
;;Пойнтер;20000044
;;Бассенджи;20000007
;;Бедлингтон-терьер;20000009
;;Аргентинский дог;20000005
;;Боксер;20000013
;;Бриар;20000015
;;Ирландский терьер;20000026
;;Стаффорд;20000059
;;Пудель малый;20000046
;;Пудель средний;20000047
;;Той-пудель;20000067
-;;Цверг-пинчер;20000073
