XML_ID;NAME;ID;PROP_PET_BIRTHDAY;PROP_PET_CATEGORY;PROP_PET_SEX;PROP_USER_ID;PROP_PET_BREED;PROP_PET_BREED_OTHER;PROP_PET_PHOTO
11179171;Крыс;11179171;27.03.2016;10666;10890412;1180257;10962925;;/upload/iblock/074/074ffae09699c8302e24689bfe0f4d11.jpg
11179975;кампот;11179975;12.11.2017;10672;10890412;2738407;10962970;;/upload/iblock/9f6/9f66282c4c825ed7cd845ff3c6c1b2f1.jpg
11180212;Асти;11180212;04.11.2015;10687;10890418;2740513;;дворняга;/upload/iblock/f6e/f6e1c8aa28b7c56e3fa0a40744d6a819.jpg
11180293;Хомяк;11180293;27.08.2017;10666;10890418;2441905;10962937;;
11180644;Сильва;11180644;15.08.2002;10672;10890418;32434;10962973;;/upload/iblock/1cf/1cf101dc3708e3ab678454256d42c373.jpg
11180680;Ганс;11180680;28.11.2005;10672;10890412;32434;10962973;;/upload/iblock/fa5/fa521e82249bdef0df80f3364a09b684.jpg
11181301;Азазелло ;11181301;15.04.2014;10672;10890412;28311;10962985;;/upload/iblock/1c4/1c4a69f19567fce8038914567d620cd6.jpg
11181481;Пуся;11181481;19.11.2016;10672;10890418;97113;10962961;;/upload/iblock/096/096cae630daa920cc5ccba159f64e899.jpg
11181682;Плюша;11181682;20.07.2015;10666;10890418;2115056;10962922;;
11181712;Бруно ;11181712;10.10.2016;10687;10890412;1686336;10963318;;/upload/iblock/7ba/7ba248a8ea3a1b4bcb36117104f0dff0.jpg
11182012;Адам;11182012;22.02.2017;10687;10890412;2701291;10963171;;/upload/iblock/cf9/cf9de4f131b837ccb8c0db183a98bb05.jpg
11182786;Микки ;11182786;11.08.2017;10687;10890412;2557513;10963246;;/upload/iblock/5fa/5fadf67956b07f28e0ad2feba89e1f3e.jpg
11182831;Мила;11182831;01.02.2014;10687;10890418;2557513;10963246;;/upload/iblock/62f/62f8c178a7a7b1238eea622f21364a2d.jpg
11182933;Тея ;11182933;15.09.2017;10687;10890418;5768;10963282;;/upload/iblock/74d/74df3094065e30b1b34e5bfd5bd7ea1e.jpg
11183440;Фурмэн;11183440;20.01.2017;10672;10890412;1733770;10962994;;/upload/iblock/793/7938e25176b8bc3f09ca29962541f78a.jpg
11184139;Кокос;11184139;30.08.2014;10672;10890412;64748;10962973;;/upload/iblock/313/313e013041a8300ecceb1d7caa94f551.jpg
11186326;Рэй;11186326;20.01.2013;10687;10890412;2164682;10963231;;/upload/iblock/fbe/fbef0b60ab91b1ec8be8846b4b71afb9.jpg
11186326;Рэй;11186326;20.01.2013;10687;10890412;2164682;10963231;;/upload/iblock/e46/e46d56ce8284d2a6aea25cf8596cdee4.jpg
11186383;Арчи;11186383;04.06.2017;10666;10890412;193025;10962940;;
11186413;Свин;11186413;;10666;10890412;193025;10962928;;
11186434;Персик;11186434;;10666;10890412;193025;10962928;;
11186461;Самсунг;11186461;;10666;10890418;193025;10962937;;
11187169;Принцесса;11187169;04.12.2014;10672;10890418;2169516;10963048;;/upload/iblock/72b/72bc5ecbec4d73493b34d9be365ac1bb.jpg
11187169;Принцесса;11187169;04.12.2014;10672;10890418;2169516;10963048;;/upload/iblock/9ba/9ba9c5244de8dc16b2cce3a05f744596.jpg
11187454;Кипиш;11187454;;10672;10890412;2155870;11142;Дворовая;
11188288;Джон;11188288;15.04.2017;10687;10890412;2037482;10963120;;/upload/iblock/3ec/3ec2d392995df8aca4e69b0f397d4a52.jpg
11188840;Елисей;11188840;24.11.2014;10672;10890412;73015;10962985;;
11188885;Валентин;11188885;30.07.2010;10672;10890412;73015;10962994;;
11188924;Доминик;11188924;23.02.2011;10687;10890412;73015;10963171;;
11189464;Юкон;11189464;;10687;10890412;56970;10963198;;/upload/iblock/324/32424ea027989240d3fd84375eab67fd.jpg
11189545;Бакс;11189545;27.06.2007;10687;10890412;2397445;10963282;;/upload/iblock/4e1/4e1405f657b756c91fea9b715c54e274.jpg
11189548;Бусинка;11189548;12.02.2015;10687;10890418;76369;10963120;;/upload/iblock/385/3853b64cb81a8e5f3b5d42529d7af147.jpg
11189605;Дара;11189605;01.11.2016;10687;10890418;2397445;10963282;;/upload/iblock/a81/a81ac78fcdd8d713cf83bede697ca313.jpg
11189665;Ясмин;11189665;18.06.2017;10672;10890418;76369;10963015;;/upload/iblock/11c/11cdff07551e848aaa662911ca9f5c1f.jpg
11189719;Крыса;11189719;25.05.2008;10672;10890418;76369;11142;Метис;/upload/iblock/1ee/1ee90b429551f63edeb3d3f3f36fdc6c.jpg
11189977;Винсонд;11189977;28.04.2015;10687;10890412;2179492;10963141;;/upload/iblock/29b/29b8b7017c8e3ca5eb78a7853ca441ea.jpg
11190568;Василий;11190568;28.08.2016;10672;10890412;1866702;10963048;;
