name;country;address;address-add;phone;url;rubric-id;working-time;lat;lon;name,country,address,address-add,phone,url,rubric-id,working-time,lat,lon
Четыре Лапы;Россия;Москва, ул. Авиаконструктора Миля, вл. 7;Миля;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.686166246711;37.853465887468;
Четыре Лапы;Россия;Зеленоград, Центральный пр-т, корп. 407;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.997958268312;37.210174984708;
Четыре Лапы;Россия;Нижний Новгород, пр. Ленина, д. 33;Муравей;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;56.28760259478;43.928254085896;
Четыре Лапы;Россия;Курск, ул. К. Маркса, д. 6;Central Park;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;51.749138274209;36.191808001241;
Четыре Лапы;Россия;Химки, Юбилейный пр., д. 3А, стр. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.886131273018;37.423179221478;
Четыре Лапы;Россия;Красногорск, ул. 50 лет Октября, д. 12;Парк;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.817831180115;37.311158831929;
Четыре Лапы;Россия;Обнинск, ул. Красных Зорь, д. 16;Атлас;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.095530155872;36.618600331265;
Четыре Лапы;Россия;Курск, ул. К. Маркса, д. 68;Мега Гринн;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;51.762350486128;36.184129881528;
Четыре Лапы;Россия;Москва, ул. Череповецкая, д. 18;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.897670685337;37.579040145421;
Четыре Лапы;Россия;Москва, Волжский б-р, д. 7;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.716965786568;37.745994261518;
Четыре Лапы;Россия;Воронеж, ул. Кольцовская, д. 35;Центр Галереи Чижова;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;51.667165270183;39.191861670552;
Четыре Лапы;Россия;Москва, ул. Новокосинская, д. 47;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.743929129284;37.874539272405;
Четыре Лапы;Россия;Москва, ул. Летчика Ульянина, д. 6;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.625308;37.309441;
Четыре Лапы;Россия;Волгоград, Университетский пр-т, д. 107;Акварель;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;48.636564;44.436055;
Четыре Лапы;Россия;Фрязино, ул. Советская, д. 1B;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.952364;38.047353;
Четыре Лапы;Россия;Бор, ул. Пушкина, д. 102;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;56.359953;44.052717;
Четыре Лапы;Россия;Москва, Новоясеневский пр-т, д. 7;Калита;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.607736186467;37.532527984633;
Четыре Лапы;Россия;Москва, ул. Ал. Монаховой, д. 30, стр.2;Перекресток;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.566592;37.482924;
Четыре Лапы;Россия;Москва, ул. Миклухо - Маклая, д. 47а;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.643647407566;37.524633873016;
Четыре Лапы;Россия;Москва, ул. Вавилова, д. 3;Гагаринский;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;55.706940549494;37.592120139881;
Четыре Лапы;Россия;Москва, ул. Полярная 3 к. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.872742499173;37.636921722723;
Четыре Лапы;Россия;Москва, ул. Люблинская, д. 163/1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.651351074267;37.744759846125;
Четыре Лапы;Россия;Москва, Новочеркасский бульвар, д. 51;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.648245040594;37.739377956576;
Четыре Лапы;Россия;Москва, ул. Братиславская, д. 13к1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.661120125268;37.760278726086;
Четыре Лапы;Россия;Москва, ул. Братиславская, д. 27, к. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.653915445029;37.767015502655;
Четыре Лапы;Россия;Москва, ул. Краснодарская, д. 57/1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.676927003414;37.767339738955;
