UF_CODE;UF_NAME
00000003;5 - 9 кг
00000005;2,5 - 4 кг
00000006;1,6 -2,4 кг
00000009;70 - 110 гр
00000010;120 - 240 гр
00000011;250 - 440 гр
00000012;450 - 590 гр
00000013;600 - 840 гр
00000014;860 гр -1,5 кг
00020016;1-9г
00020017;10-40гр
00020018;15-30кг
00020019;40-70гр
00020020;9-15кг
00020021;40кг
00020022;4-5кг
